x1;x2
0.9418643937;1.7401710261
0.8113623936;1.5762078657
0.9011927844;1.6243825542
1.2243903234;1.7544539823
1.0227994548;1.7759683623
1.0689269364;1.7100397125
1.0902117771;1.6799564775
1.0444369488;1.7332221366
1.2038781996;1.9843247469
0.965869875;1.6063864521
1.0021550871;1.4118434964
1.1530809807;1.7020078437
1.2060685722;1.7779298805
1.0399559019;1.9522075254
0.9787161249;1.7383945272
0.9391658532;1.7766242403
0.6090892992;1.7254716549
1.1772648753;1.7874633096
1.2513136023;1.6353800832
1.0402801956;1.6795174674
1.2286079787;1.6756585251
1.0858909911;1.694217717
0.8582603805;1.9357749852
1.1933748987;1.6733325249
1.1646634737;1.7152966272
1.0926097569;1.7277440691
1.1210107359;2.002866474
1.0892881959;1.4734005585
1.0039503999;1.5836093391
1.1484740553;1.8659225685
1.1802123633;1.5628065573
1.0333211919;1.6344499797
1.0143330657;1.7317458096
1.2906378528;1.6251270174
1.129713705;1.8296917086
1.2883397874;1.4831056551
1.0670567694;1.9584364755
1.3580792823;1.7632570065
1.1606512377;1.7620999899
0.8909614794;1.9628285205
0.9327224511;1.6118085906
1.0098118563;1.5423716835
1.2002413116;1.7152121532
0.8639843556;1.8146120718
1.1445082677;1.6916738049
0.919084161;1.4772057099
1.2356160726;2.0075552151
1.035168033;1.7553614847
1.025416611;2.1169012725
0.8323524918;1.5645051267
1.2246363057;1.8167142114
1.1471291214;1.8040875861
1.0170319041;1.7666367801
1.0942483641;1.3668321288
0.970335336;1.909648389
1.0705441923;1.471461414
0.9171838278;1.9484894991
0.9749515641;1.6154243616
1.1055413529;1.6753141857
0.9887027034;1.4750226603
1.145246928;1.479007044
0.8641428903;1.81385334
0.6428987373;1.8463124529
1.2643922331;1.801003875
1.3023701874;1.7250928875
1.1041567464;1.6615055091
1.0957294887;1.7605457685
1.3347278583;1.834010904
1.1529944457;1.8155870364
1.207054368;1.7696028234
0.9118404222;2.1494702385
1.2617201955;1.4771311698
1.0650136431;1.5026184852
0.9833318478;1.6156613169
1.1080152324;1.5115381971
